country, 2024, 2023, 2022, 2021
United States,25.63,25.77,25.81,25.75
Japan,29.74,29.74,29.74,29.74
United Kingdom,25,25,19,19
Canada,26.14,26.14,26.12,26.17
France,25.83,25.83,25.83,28.41
Germany,29.93,29.93,29.94,29.83
Switzerland,19.61,19.65,19.7,19.7
Australia,30,30,30,30
Netherlands,25.8,25.8,25.8,25
Sweden,20.6,20.6,20.6,20.6
Spain,25,25,25,25
Italy,27.81,27.81,27.81,27.81
Denmark,22,22,22,22
Austria,23,24,25,25
Hong Kong,16.5,16.5,16.5,16.5
Singapore,17,17,17,17
Finland,20,20,20,20
Luxembourg,24.94,24.94,24.94,24.94
Belgium,25,25,25,25
Israel,23,23,23,23
Ireland,12.5,12.5,12.5,12.5
Norway,22,22,22,22
New Zealand,28,28,28,28
Portugal,31.5,31.5,31.5,31.5